papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
BBAS3,26.08,4.36,0.89,0.0,0.08039999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2034,0.0,482647000.0,168546000000.0,0.0,0.2877
CMIG3,12.35,6.4,1.39,0.949,0.07440000000000001,0.615,18.05,4.8,-2.05,5.77,4.9,0.19760000000000003,0.1482,0.1464,0.21719999999999998,1.15,3655340.0,25414600000.0,0.46,0.1107
CMIG4,10.11,5.24,1.14,0.776,0.0908,0.504,14.78,3.93,-1.68,4.9,4.16,0.19760000000000003,0.1482,0.1464,0.21719999999999998,1.15,137484000.0,25414600000.0,0.46,0.1107
ITSA3,9.72,7.1,1.25,13.197,0.08810000000000001,0.966,12.42,172.79,-15.15,179.33,57.85,0.0764,1.911,0.0060999999999999995,0.17579999999999998,2.71,1027740.0,80435000000.0,0.15,0.1072
ITSA4,9.71,7.09,1.25,13.183,0.0882,0.965,12.41,172.61,-15.13,179.16,57.8,0.0764,1.911,0.0060999999999999995,0.17579999999999998,2.71,214244000.0,80435000000.0,0.15,0.1072
ITUB3,27.69,7.89,1.53,0.0,0.0757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941,0.0,10573000.0,177342000000.0,0.0,0.39299999999999996
LAVV3,7.99,5.78,1.21,1.549,0.08039999999999999,0.631,0.93,6.95,1.55,6.64,6.61,0.223,0.2804,0.11689999999999999,0.20879999999999999,5.47,6551170.0,1321070000.0,0.34,0.31980000000000003
POMO3,4.59,5.89,1.46,0.78,0.10710000000000001,0.65,2.12,5.79,15.91,7.08,6.05,0.13470000000000001,0.1333,0.1539,0.2484,2.08,1695780.0,3566490000.0,0.74,0.1528
POMO4,5.94,7.62,1.89,1.01,0.0828,0.841,2.74,7.5,20.59,8.78,7.51,0.13470000000000001,0.1333,0.1539,0.2484,2.08,46457300.0,3566490000.0,0.74,0.1528
RANI3,8.24,5.79,1.5,1.258,0.0907,0.568,2.35,4.88,-1.96,7.38,5.57,0.2579,0.21710000000000002,0.14730000000000001,0.2584,3.71,6409640.0,1320340000.0,1.23,0.1604
TRPL4,24.94,6.01,0.91,2.481,0.08839999999999999,0.433,3.59,4.8,-1.3,7.03,6.98,0.5166,0.4217,0.09789999999999999,0.1518,3.08,89406700.0,18016200000.0,0.58,0.1852
